fips,state,adult_obesity_pct,food_environment_index,exercise_access_pct,excess_drinking_pct,uninsured_num,uninsured_pct,primary_care_phys_rate,prevent_hospital_rate,income_inequal_80pct,income_inequal_20pct,income_inequal_ratio,early_death_count,early_death_years_lost,mental_health_ratio,mental_health_rate,mental_health_num,dentists_ratio,dentists_num,dentists_rate,unemployment_num,unemployment_pct,poor_physical_health_avg_days,housing_inad_facil,housing_overcrowding,longitude,latitude,population,median_income
41,Oregon,30.6,8.1,87.727340524,19.609835969,252038.0,7.353665877,93.94382,1796.0,148408.0,32783.0,4.5269804472,54232.0,6704.5183242,148:1,677.17152,28713.0,1177:1,3601.0,84.9265,90795.0,4.1711554231,3.3096826233,1.5965736829,3.2488524151,-120.55516377115264,43.936661234286206,4176346,65667
42,Pennsylvania,33.3,8.5,86.139847878,19.082797456,681400.0,6.6858916305,79.08019,3014.0,144679.0,30079.0,4.8099670867,187123.0,8032.2777069,371:1,269.58047,34970.0,1400:1,9263.0,71.4076,282694.0,4.3631818658,3.4049882968,1.064406846,1.4401950417,-77.7996038495195,40.87388871995401,12794885,63627
44,Rhode Island,30.6,8.5,95.273465229,21.118013185,42429.0,4.8986702966,96.74976,2650.0,154649.0,31459.0,4.9158905242,13004.0,6504.6823813,208:1,479.73273,5247.0,1574:1,695.0,63.543789999999994,18236.0,3.2023545278,3.3454298872,0.905408338,1.919321004,-71.5527385788311,41.67579941455351,1057798,70305
45,South Carolina,36.4,6.7,68.496324553,18.126647162,500507.0,12.25580257,67.33189,2571.0,126537.0,26570.0,4.7624012044,91359.0,10317.504797,462:1,216.25575,11424.0,1682:1,3141.0,59.45897,77053.0,3.2443600649,3.7852918765,0.7807879764,1.9120765952,-80.89581601921259,33.90763396754642,5091517,54864
46,South Dakota,38.9,7.7,73.254333363,22.434877311,81086.0,11.460951126,79.85472,2771.0,127707.0,31062.0,4.1113579293,11939.0,8482.5098594,441:1,226.96697,2065.0,1561:1,583.0,64.07833000000001,9819.0,2.0668359035,2.8235747427,1.2202483615,2.1717258825,-100.2304509553133,44.43613170891696,879336,59896
47,Tennessee,35.5,6.5,67.407420806,16.88591869,670735.0,11.872540143,69.58922,2896.0,125825.0,27187.0,4.6281310921,129488.0,11043.406354,532:1,187.93594000000002,13252.0,1779:1,3963.0,56.20209,113469.0,3.3850760001,4.0993340301,0.8831368597,1.8380688438,-86.34335392703454,35.84297914114155,6772268,54833
48,Texas,36.2,5.9,81.801035872,18.250379508,5082397.0,20.319018859,60.34285,2933.0,147116.0,30601.0,4.8075553087,373903.0,7874.6895159,638:1,156.71219,47060.0,1590:1,18892.0,62.91132,569731.0,3.8856140733,3.2936811478,0.989898113,4.7420924746,-99.34939921259644,31.48259417789338,28635442,63826
49,Utah,31.6,8.1,84.824838856,12.4058085,295109.0,10.113864036,56.02199,1528.0,154820.0,41337.0,3.7453129158,28579.0,6328.4195288,259:1,385.58921000000004,13036.0,1441:1,2346.0,69.39186,40378.0,2.3165114982,3.5656404521,0.8068012498,3.3612565967,-111.67820537427214,39.32379041073668,3151239,74197
50,Vermont,29.4,9.2,70.969883855,21.604663408,22255.0,4.5007422028,111.21954,2182.0,141985.0,31805.0,4.4642351831,8138.0,6692.6526552,184:1,543.37747,3516.0,1377:1,470.0,72.63578,9036.0,2.6411708138,3.0632665658,1.162259844,1.5769450257,-72.66271889716063,44.07519736305578,624340,63477
51,Virginia,34.2,9.0,83.648896534,17.843791318,559026.0,7.9626822536,74.55214,2601.0,175273.0,36133.0,4.8507735311,110096.0,7297.0693838,411:1,243.26263,21124.0,1329:1,6535.0,75.25664,127056.0,2.8642891522,3.2495328936,0.7182518247,1.939625391,-78.80825817757984,37.51527427143206,8509358,76398
53,Washington,28.7,8.5,85.470419573,17.707964992,487958.0,7.5853845041,83.2182,1791.0,174822.0,39399.0,4.4372192188,86805.0,6333.4739779,200:1,499.33302,38877.0,1152:1,6757.0,86.78636,168026.0,4.2108106862,3.4645364122,1.195531726,3.4043746688,-120.45086208641018,47.38228218818673,7512465,77006
54,West Virginia,41.0,6.8,57.814169021,14.342932943,105912.0,7.6562135169,75.829,3958.0,112217.0,22137.0,5.0692054027,40230.0,12553.948558,558:1,179.30818,3183.0,1705:1,1041.0,58.64273,30666.0,3.9058947602,4.2618202522,0.7899378264,1.2979495666,-80.61383647137914,38.64252532034285,1807426,48037
55,Wisconsin,33.5,9.1,83.727080257,25.294452765,305258.0,6.4564079624,79.93679999999999,2451.0,135046.0,32396.0,4.1686010619,74389.0,7082.3956424,398:1,251.30084,14808.0,1363:1,4322.0,73.34699,90082.0,2.9227142873,3.1047902861,1.0317775717,1.6217852885,-90.01147576057438,44.6394908660543,5806975,63293
56,Wyoming,32.2,7.1,77.86187421,19.400269494,71349.0,15.342122296,69.79922,2215.0,134680.0,31382.0,4.2916321458,8703.0,8747.3244834,261:1,383.56947,2230.0,1408:1,413.0,71.03775,10414.0,3.5693965547,3.4622781145,1.0354585602,2.0151781503,-107.55147909731743,42.999652118033865,581348,65304
